Tiempo (s),Acc X (G),Acc Y (G),Acc Z (G)
0.0,-0.0,0.0,9.8
0.041,-0.001,0.0,9.8
0.081,-0.003,0.0,9.8
0.121,-0.007,0.0,9.8
0.161,-0.001,-0.001,9.8
0.202,0.004,-0.002,9.8
0.242,0.007,-0.001,9.8
0.283,0.004,-0.002,9.8
0.323,-0.039,-0.007,9.8
0.363,-0.029,-0.004,9.8
0.405,-0.054,-0.006,9.8
0.446,-0.053,-0.001,9.8
0.487,-0.099,0.01,9.799
0.528,-0.015,0.037,9.8
0.568,0.077,0.014,9.801
0.608,0.098,-0.001,9.801
0.649,0.107,0.042,9.801
0.689,0.063,0.05,9.8
0.729,0.038,0.016,9.8
0.77,0.053,0.004,9.8
0.81,0.304,-0.008,9.8
0.85,0.142,0.015,9.8
0.89,0.041,0.029,9.8
0.931,0.037,0.006,9.8
0.971,0.34,-0.014,9.801
1.011,0.183,0.0,9.801
1.052,0.043,-0.017,9.802
1.092,-0.167,-0.047,9.801
1.133,0.029,0.035,9.799
1.173,0.524,0.032,9.796
1.213,0.167,0.14,9.794
1.253,-0.064,0.07,9.795
1.294,0.002,-0.053,9.794
1.334,0.014,-0.093,9.796
1.374,0.545,-0.095,9.801
1.415,0.252,-0.096,9.805
1.455,-0.013,-0.105,9.798
1.495,0.083,-0.069,9.794
1.536,-0.045,-0.035,9.793
1.576,-0.567,0.075,9.798
1.616,-0.492,0.211,9.804
1.657,-0.734,0.165,9.795
1.697,-0.698,0.118,9.798
1.737,-0.335,-0.095,9.794
1.778,0.042,0.269,9.792
1.818,0.417,0.129,9.795
1.858,-0.201,0.084,9.797
1.899,0.394,-0.105,9.807
1.939,0.429,-0.212,9.812
1.979,0.514,-0.217,9.8
2.02,0.232,-0.293,9.8
2.06,0.296,-0.298,9.801
2.101,0.437,-0.118,9.818
2.141,0.326,-0.146,9.803
2.181,0.26,-0.106,9.804
2.222,0.974,-0.193,9.808
2.262,0.844,-0.353,9.792
2.302,0.685,-0.143,9.788
2.343,1.406,-0.054,9.808
2.383,1.113,-0.209,9.813
2.423,0.518,-0.13,9.822
2.464,-0.8,0.031,9.836
2.504,0.369,0.279,9.831
2.544,1.227,-0.02,9.839
2.585,0.478,-0.013,9.84
2.625,0.048,-0.053,9.821
2.665,0.851,-0.416,9.823
2.706,-0.169,-0.306,9.814
2.746,0.364,-0.08,9.805
2.786,-0.364,0.267,9.788
2.827,-2.191,0.032,9.789
2.867,-1.636,0.344,9.801
2.907,0.478,0.205,9.803
2.947,2.716,-0.2,9.807
2.988,2.364,0.151,9.811
3.028,2.562,0.087,9.808
3.068,1.042,-0.194,9.822
3.109,0.701,-0.141,9.82
3.149,-0.938,-0.533,9.809
3.19,-3.076,-0.687,9.81
3.23,-0.738,-0.333,9.805
3.27,0.814,-0.442,9.81
3.311,1.96,0.036,9.772
3.351,0.531,-0.273,9.774
3.391,-1.348,-0.546,9.778
3.431,-1.092,-0.071,9.792
3.471,0.746,0.424,9.806
3.512,-0.161,0.193,9.814
3.552,0.523,-0.268,9.829
3.592,1.894,-0.528,9.813
3.632,-0.049,-0.254,9.8
3.672,-2.192,0.785,9.786
3.713,-1.139,0.445,9.813
3.753,-1.284,0.712,9.802
3.793,-2.268,0.822,9.788
3.834,-1.982,0.356,9.792
3.874,-2.076,-0.124,9.806
3.914,0.471,-1.133,9.829
3.954,1.139,-1.058,9.825
3.995,-0.691,-0.776,9.819
4.035,-0.961,0.237,9.82
4.075,-0.722,-0.333,9.808
4.116,-2.124,-0.58,9.787
4.156,0.009,-0.892,9.768
4.197,-1.442,-0.771,9.749
4.237,-0.97,-1.104,9.749
4.277,-1.833,-0.288,9.751
4.317,-2.025,-0.135,9.797
4.358,-1.762,0.298,9.81
4.398,-2.01,-0.159,9.8
4.438,-1.155,-0.907,9.781
4.478,-4.325,-0.889,9.781
4.518,-2.65,0.282,9.78
4.559,-3.634,-0.687,9.806
4.599,-1.064,-0.342,9.835
4.639,4.122,0.249,9.857
4.679,2.788,0.082,9.832
4.719,0.685,0.507,9.79
4.76,-1.027,-0.192,9.785
4.8,-0.201,0.084,9.781
4.84,-1.979,0.189,9.777
4.88,-1.884,0.087,9.799
4.92,-1.782,0.614,9.789
4.961,3.124,0.544,9.824
5.001,2.023,-0.098,9.807
5.041,3.216,0.424,9.818
5.081,5.116,0.45,9.803
5.122,1.264,-0.069,9.825
5.162,0.581,0.728,9.815
5.202,1.944,0.075,9.853
5.243,1.143,-0.075,9.831
5.283,3.283,0.7,9.863
5.323,-0.088,1.063,9.87
5.363,2.006,0.971,9.839
5.403,2.344,0.81,9.827
5.444,4.572,0.051,9.805
5.484,7.793,0.21,9.822
5.524,6.687,-0.473,9.841
5.565,5.592,-0.84,9.811
5.605,5.219,-0.864,9.815
5.645,3.286,-0.295,9.819
5.685,-0.022,0.724,9.776
5.725,-5.082,0.494,9.759
5.765,-6.073,0.815,9.79
5.806,-5.86,0.013,9.795
5.846,-4.381,0.249,9.787
5.886,-2.161,-1.069,9.789
5.926,2.364,0.173,9.788
5.967,0.341,-0.385,9.822
6.007,-4.179,0.429,9.8
6.047,0.704,0.852,9.802
6.087,-5.194,0.62,9.79
6.128,-2.909,-0.055,9.792
6.168,0.817,-0.914,9.84
6.208,0.577,-0.858,9.842
6.248,-7.671,-0.538,9.831
6.288,-6.708,0.649,9.825
6.329,-3.058,0.338,9.819
6.369,0.236,0.653,9.764
6.409,-4.422,0.448,9.741
6.449,-1.942,0.755,9.738
6.49,2.392,-0.195,9.753
6.53,4.415,-1.135,9.82
6.57,5.326,-0.948,9.777
6.61,2.616,0.009,9.748
6.65,3.2,0.309,9.75
6.691,3.747,0.978,9.728
6.731,2.146,0.316,9.728
6.771,2.376,-1.012,9.708
6.812,-1.855,-0.614,9.731
6.852,1.212,0.48,9.701
6.893,2.267,-0.227,9.713
6.933,2.823,-0.799,9.72
6.973,2.395,-0.82,9.705
7.013,0.879,-0.975,9.777
7.054,-3.974,0.206,9.775
7.094,-1.064,0.449,9.823
7.134,-1.57,0.236,9.89
7.174,-3.71,0.691,9.898
7.215,-5.054,-0.115,9.871
7.255,-2.351,0.25,9.834
7.295,0.462,0.198,9.789
7.335,5.771,1.308,9.753
7.376,4.612,0.674,9.757
7.416,-1.655,1.272,9.776
7.456,-3.942,1.997,9.703
7.496,-1.196,1.446,9.747
7.536,-2.433,-0.269,9.742
7.577,-4.246,-1.245,9.858
7.617,-4.586,-1.434,9.852
7.657,2.608,-1.291,9.829
7.697,6.98,-0.697,9.839
7.738,1.554,0.913,9.801
7.778,-7.255,0.433,9.774
7.819,-5.339,2.0,9.773
7.859,-2.425,0.114,9.783
7.899,-2.973,0.236,9.877
7.939,1.042,-1.612,9.893
7.979,1.148,-3.318,9.864
8.019,0.561,-3.349,9.843
8.06,2.193,-1.406,9.808
8.1,2.102,0.526,9.733
8.14,-0.086,-0.911,9.709
8.18,-4.505,-0.947,9.747
8.222,-5.239,-0.65,9.79
8.263,0.23,0.366,9.777
8.303,-1.246,-0.293,9.782
8.343,-0.78,-0.325,9.842
8.383,0.058,0.5,9.853
8.424,5.106,0.056,9.845
8.464,9.046,1.774,9.876
8.504,3.009,2.187,9.907
8.545,-1.954,0.629,9.905
8.585,4.663,-0.319,9.829
8.625,7.34,0.624,9.737
8.665,-0.686,0.73,9.796
8.706,-1.478,1.318,9.777
8.746,-2.576,0.521,9.832
8.786,0.845,-0.083,9.872
8.826,-0.603,-1.598,9.739
8.867,1.6,-0.315,9.702
8.907,1.782,-0.354,9.728
8.947,0.773,0.114,9.702
8.987,-2.813,1.122,9.781
9.028,-6.551,-0.097,9.797
9.068,-9.384,-0.146,9.837
9.108,-2.839,-0.491,9.901
9.148,-1.51,0.482,9.822
9.189,1.905,0.544,9.834
9.229,-0.898,0.758,9.799
9.269,-0.778,0.66,9.779
9.31,8.455,-0.539,9.807
9.35,3.185,-0.508,9.788
9.39,2.442,-0.976,9.747
9.431,-1.095,1.67,9.781
9.471,-1.313,1.357,9.782
9.511,6.101,1.693,9.883
9.552,6.965,2.012,9.797
9.592,11.335,1.605,9.739
9.632,6.075,0.681,9.74
9.672,1.655,0.241,9.673
9.713,0.394,-2.056,9.743
9.753,-2.21,-2.06,9.747
9.794,-1.754,-0.536,9.708
9.834,2.604,-0.42,9.746
9.874,6.445,-0.383,9.729
9.915,4.648,0.2,9.789
9.955,0.803,1.401,9.794
9.995,-6.155,2.833,9.9
10.035,0.315,2.333,9.882
10.076,4.645,1.841,9.895
10.116,0.447,-0.247,9.91
10.156,-4.765,0.121,9.822
10.197,-2.645,0.508,9.738
10.237,1.661,1.748,9.729
10.277,-1.312,0.683,9.652
10.317,1.498,-1.293,9.693
10.358,-4.529,-2.81,9.713
10.398,-4.657,-2.036,9.772
10.439,-4.759,-0.936,9.761
10.479,-6.063,-0.613,9.77
10.519,-8.113,-0.142,9.736
10.56,-1.65,0.391,9.728
10.6,-1.806,-0.39,9.859
10.64,-0.828,-0.356,9.855
10.681,4.868,-0.171,9.859
10.721,2.254,2.572,9.815
10.761,0.688,2.275,9.84
10.801,2.709,2.326,9.901
10.842,8.397,2.305,9.903
10.882,11.786,1.62,9.934
10.922,6.609,1.5,9.929
10.963,-1.748,0.098,9.88
11.003,2.026,-0.256,9.831
11.043,7.403,-0.645,9.808
11.084,-1.512,-0.461,9.834
11.124,-4.306,0.029,9.788
11.164,0.241,0.023,9.79
11.205,3.463,0.011,9.764
11.245,1.31,0.238,9.75
11.285,-3.957,-0.341,9.81
11.326,-7.594,0.365,9.766
11.366,-2.651,-0.37,9.762
11.406,-4.139,-0.506,9.734
11.446,-6.202,0.736,9.767
11.487,-5.836,1.449,9.774
11.527,1.799,0.916,9.787
11.567,0.357,-1.087,9.835
11.608,1.705,-0.841,9.898
11.648,-0.71,-0.362,9.896
11.688,-0.882,-0.28,9.871
11.729,3.848,0.125,9.901
11.769,6.308,-0.125,9.848
11.81,5.8,0.332,9.815
11.85,1.728,0.712,9.766
11.89,-4.884,1.788,9.799
11.93,-5.79,0.798,9.759
11.971,-1.632,-0.779,9.783
12.011,-0.597,-1.525,9.772
12.052,-4.278,-0.847,9.724
12.092,-11.607,0.416,9.725
12.133,-10.411,-0.111,9.671
12.173,-2.331,-0.444,9.696
12.213,-4.794,-0.094,9.725
12.254,-7.926,0.531,9.83
12.294,-2.337,3.235,9.873
12.334,3.13,2.678,9.867
12.375,2.456,1.029,9.889
12.415,6.936,0.224,9.762
12.455,9.85,-0.457,9.719
12.496,2.447,-1.709,9.77
12.536,0.728,1.018,9.747
12.576,-8.64,-0.092,9.748
12.616,-2.681,0.302,9.835
12.657,4.818,1.431,9.822
12.697,1.098,0.277,9.789
12.737,-5.541,1.798,9.779
12.778,-3.225,1.528,9.719
12.818,-3.386,1.683,9.697
12.858,0.98,0.428,9.697
12.898,3.569,0.545,9.759
12.939,2.563,0.332,9.786
12.979,1.103,0.282,9.837
13.019,-1.524,-0.222,9.81
13.06,2.142,-0.192,9.768
13.1,1.909,-0.327,9.781
13.14,-0.32,-0.891,9.765
